Release date;Time;Actual;Forecast;Previous
Aug 12, 2026 (Jul);09:30;;;-0.4%
Jul 14, 2026 (Jun);09:30;-0.4%;-0.1%;0.5%
Jun 10, 2026 (May);09:30;0.5%;0.5%;0.6%
May 12, 2026 (Apr);09:30;0.6%;0.6%;0.9%
Apr 10, 2026 (Mar);09:30;0.9%;1.0%;0.3%
Mar 11, 2026 (Feb);09:30;0.3%;0.3%;0.2%
Feb 13, 2026 (Jan);10:30;0.2%;0.3%;0.3%
Jan 13, 2026 (Dec);10:30;0.3%;0.3%;0.3%
Oct 24, 2025 (Sep);09:30;0.3%;0.4%;0.4%
Sep 11, 2025 (Aug);09:30;0.4%;0.3%;0.2%
Aug 12, 2025 (Jul);09:30;0.2%;0.2%;0.3%
Jul 15, 2025 (Jun);09:30;0.3%;0.3%;0.1%
Jun 11, 2025 (May);09:30;0.1%;0.2%;0.2%
May 13, 2025 (Apr);09:30;0.2%;0.3%;-0.1%
Apr 10, 2025 (Mar);09:30;-0.1%;0.1%;0.2%
Mar 12, 2025 (Feb);09:30;0.2%;0.3%;0.5%
Feb 12, 2025 (Jan);10:30;0.5%;0.3%;0.4%
Jan 15, 2025 (Dec);10:30;0.4%;0.4%;0.3%
Dec 11, 2024 (Nov);10:30;0.3%;0.3%;0.2%
Nov 13, 2024 (Oct);10:30;0.2%;0.2%;0.2%
Oct 10, 2024 (Sep);09:30;0.2%;0.1%;0.2%
Sep 11, 2024 (Aug);09:30;0.2%;0.2%;0.2%
Aug 14, 2024 (Jul);09:30;0.2%;0.2%;-0.1%
Jul 11, 2024 (Jun);09:30;-0.1%;0.1%;0.0%
Jun 12, 2024 (May);09:30;0.0%;0.1%;0.3%
May 15, 2024 (Apr);09:30;0.3%;0.4%;0.4%
Apr 10, 2024 (Mar);09:30;0.4%;0.3%;0.4%
Mar 12, 2024 (Feb);09:30;0.4%;0.4%;0.3%
Feb 13, 2024 (Jan);10:30;0.3%;0.2%;0.2%
Jan 11, 2024 (Dec);10:30;0.3%;0.2%;0.2%
Dec 12, 2023 (Nov);10:30;0.1%;0.0%;0.1%
Nov 14, 2023 (Oct);10:30;0.0%;0.1%;0.4%
Oct 12, 2023 (Sep);09:30;0.4%;0.3%;0.5%
Sep 13, 2023 (Aug);09:30;0.6%;0.6%;0.2%
Aug 10, 2023 (Jul);09:30;0.2%;0.2%;0.2%
Jul 12, 2023 (Jun);09:30;0.2%;0.3%;0.1%
Jun 13, 2023 (May);09:30;0.1%;0.2%;0.4%
May 10, 2023 (Apr);09:30;0.4%;0.4%;0.1%
Apr 12, 2023 (Mar);09:30;0.1%;0.2%;0.4%
Mar 14, 2023 (Feb);09:30;0.4%;0.4%;0.5%
May 29, 2016 (Q1);22:30;-4.7%;0.1%;-3.6%
Feb 28, 2016 (Q4);21:30;-2.8%;-1.8%;1.4%
Nov 29, 2015 (Q3);22:30;1.3%;1.0%;-0.5%
Aug 30, 2015 (Q2);22:30;-1.9%;-2.0%;-0.3%
May 31, 2015 (Q1);22:30;0.2%;0.5%;-0.4%
Mar 01, 2015 (Q4);21:30;-0.2%;0.3%;-0.4%
Nov 30, 2014 (Q3);22:30;0.5%;-1.2%;-7.5%
Aug 31, 2014 (Q2);22:30;-6.9%;-1.8%;2.0%
Jun 01, 2014;22:30;3.1%;2.6%;2.5%
Mar 02, 2014;21:30;1.7%;2.0%;4.3%
