indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN
CPI_EUA,2023-03-14,0.4,0.4,0.0,0.0,23.0,0.2
CPI_EUA,2023-04-12,0.1,0.2,-0.1,-1.0075060759869812,28.0,0.3111111111111111
CPI_EUA,2023-05-10,0.4,0.4,0.0,0.0,22.0,0.17777777777777778
CPI_EUA,2023-06-13,0.1,0.2,-0.1,-1.0075060759869812,20.0,0.13333333333333333
CPI_EUA,2023-07-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,23.0,0.2
CPI_EUA,2023-08-10,0.2,0.2,0.0,0.0,23.0,0.2
CPI_EUA,2023-09-13,0.6,0.6,0.0,0.0,19.5,0.12222222222222222
CPI_EUA,2023-10-12,0.4,0.3,0.1,1.0075060759869816,18.0,0.08888888888888889
CPI_EUA,2023-11-14,0.0,0.1,-0.1,-1.0075060759869812,20.5,0.14444444444444443
CPI_EUA,2023-12-12,0.1,0.0,0.1,1.0075060759869812,16.0,0.044444444444444446
CPI_EUA,2024-01-11,0.3,0.2,0.0999999999999999,1.007506075986981,16.5,0.05555555555555555
CPI_EUA,2024-02-13,0.3,0.2,0.0999999999999999,1.007506075986981,25.0,0.24444444444444444
CPI_EUA,2024-03-12,0.4,0.4,0.0,0.0,20.5,0.14444444444444443
CPI_EUA,2024-04-10,0.4,0.3,0.1,1.0075060759869816,28.0,0.3111111111111111
CPI_EUA,2024-05-15,0.3,0.4,-0.1,-1.0075060759869816,25.0,0.24444444444444444
CPI_EUA,2024-06-12,0.0,0.1,-0.1,-1.0075060759869812,19.0,0.1111111111111111
CPI_EUA,2024-07-11,-0.1,0.1,-0.2,-2.0150121519739623,22.0,0.17777777777777778
CPI_EUA,2024-08-14,0.2,0.2,0.0,0.0,23.5,0.2111111111111111
CPI_EUA,2024-09-11,0.2,0.2,0.0,0.0,18.5,0.1
CPI_EUA,2024-10-10,0.2,0.1,0.1,1.0075060759869812,15.0,0.022222222222222223
CPI_EUA,2024-11-13,0.2,0.2,0.0,0.0,14.0,0.0
CPI_EUA,2024-12-11,0.3,0.3,0.0,0.0,14.5,0.011111111111111112
CPI_EUA,2025-01-15,0.4,0.4,0.0,0.0,20.5,0.14444444444444443
CPI_EUA,2025-02-12,0.5,0.3,0.2,2.0150121519739623,20.5,0.14444444444444443
CPI_EUA,2025-03-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,20.0,0.13333333333333333
CPI_EUA,2025-04-10,-0.1,0.1,-0.2,-2.0150121519739623,14.0,0.0
CPI_EUA,2025-05-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,14.0,0.0
CPI_EUA,2025-06-11,0.1,0.2,-0.1,-1.0075060759869812,16.0,0.044444444444444446
CPI_EUA,2025-07-15,0.3,0.3,0.0,0.0,20.5,0.14444444444444443
CPI_EUA,2025-08-12,0.2,0.2,0.0,0.0,34.0,0.4444444444444444
CPI_EUA,2025-09-11,0.4,0.3,0.1,1.0075060759869816,19.5,0.12222222222222222
CPI_EUA,2025-10-24,0.3,0.4,-0.1,-1.0075060759869816,17.5,0.07777777777777778
CPI_EUA,2026-01-13,0.3,0.3,0.0,0.0,27.0,0.28888888888888886
CPI_EUA,2026-02-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,33.0,0.4222222222222222
CPI_EUA,2026-03-11,0.3,0.3,0.0,0.0,36.0,0.4888888888888889
CPI_EUA,2026-04-10,0.9,1.0,-0.0999999999999999,-1.007506075986981,29.0,0.3333333333333333
CPI_EUA,2026-05-12,0.6,0.6,0.0,0.0,33.0,0.4222222222222222
CPI_EUA,2026-06-10,0.5,0.5,0.0,0.0,59.0,1.0
CPI_EUA,2026-07-14,-0.4,-0.1,-0.3,-3.022518227960944,28.5,0.32222222222222224
