indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE
Payroll_EUA,2023-01-06,223.0,200.0,23.0,0.2677036358989103,7.0,0.010416666666666666,0.506530163097263
Payroll_EUA,2023-02-03,517.0,185.0,332.0,3.8642437877581832,10.0,0.07291666666666667,0.46592392755844697
Payroll_EUA,2023-03-10,311.0,205.0,106.0,1.2337645828384562,15.5,0.1875,0.41419620747527286
Payroll_EUA,2023-04-07,236.0,239.0,-3.0,-0.03491786555203178,10.5,0.08333333333333333,0.32090349742861657
Payroll_EUA,2023-05-05,253.0,180.0,73.0,0.8496680617661065,7.0,0.010416666666666666,0.34433706693139465
Payroll_EUA,2023-06-02,339.0,180.0,159.0,1.8506468742576843,8.0,0.03125,0.3044378269698235
Payroll_EUA,2023-07-07,209.0,225.0,-16.0,-0.1862286162775028,11.0,0.09375,0.2528321804880428
Payroll_EUA,2023-08-04,187.0,200.0,-13.0,-0.15131075072547104,8.0,0.03125,0.21157161170158062
Payroll_EUA,2023-09-01,187.0,170.0,17.0,0.19786790479484673,6.5,0.0,0.20964648884571174
Payroll_EUA,2023-10-06,336.0,170.0,166.0,1.9321218938790916,14.5,0.16666666666666666,0.09126234068378723
Payroll_EUA,2023-11-03,150.0,180.0,-30.0,-0.3491786555203178,6.5,0.0,0.07341352416929282
Payroll_EUA,2023-12-08,199.0,180.0,19.0,0.22114648182953459,10.0,0.07291666666666667,-0.017157684116368473
Payroll_EUA,2024-01-05,216.0,170.0,46.0,0.5354072717978205,7.5,0.020833333333333332,0.6893524961513257
Payroll_EUA,2024-02-02,353.0,187.0,166.0,1.9321218938790916,8.5,0.041666666666666664,0.09603884504665745
Payroll_EUA,2024-03-08,275.0,198.0,77.0,0.8962252158354823,8.5,0.041666666666666664,0.36052787889427046
Payroll_EUA,2024-04-05,303.0,212.0,91.0,1.0591752550782974,11.5,0.10416666666666667,-0.16528711497061307
Payroll_EUA,2024-05-03,175.0,238.0,-63.0,-0.7332751765926673,7.5,0.020833333333333332,-0.6269587935722609
Payroll_EUA,2024-06-07,272.0,182.0,90.0,1.0475359665609534,10.5,0.08333333333333333,-0.5978650475515449
Payroll_EUA,2024-07-05,206.0,191.0,15.0,0.1745893277601589,6.5,0.0,-0.7699904699621644
Payroll_EUA,2024-08-02,114.0,176.0,-62.0,-0.7216358880753234,9.5,0.0625,-0.707504395565347
Payroll_EUA,2024-09-06,142.0,164.0,-22.0,-0.25606434738156636,20.5,0.2916666666666667,-0.41204488929294414
Payroll_EUA,2024-10-04,254.0,147.0,107.0,1.2454038713558,13.0,0.13541666666666666,0.22322870690190058
Payroll_EUA,2024-11-01,12.0,106.0,-94.0,-1.094093120630329,13.0,0.13541666666666666,0.19184315556830758
Payroll_EUA,2024-12-06,227.0,202.0,25.0,0.29098221293359816,10.0,0.07291666666666667,0.06738284457468685
Payroll_EUA,2025-01-10,256.0,164.0,92.0,1.070814543595641,11.5,0.10416666666666667,0.7312093315690985
Payroll_EUA,2025-02-07,143.0,169.0,-26.0,-0.3026215014509421,11.5,0.10416666666666667,0.7535355906460248
Payroll_EUA,2025-03-07,151.0,159.0,-8.0,-0.0931143081387514,18.5,0.25,0.5099898374974576
Payroll_EUA,2025-04-04,228.0,137.0,91.0,1.0591752550782974,11.0,0.09375,-0.790261547433691
Payroll_EUA,2025-05-02,177.0,138.0,39.0,0.4539322521764131,11.5,0.10416666666666667,-0.6837600280496186
Payroll_EUA,2025-06-06,139.0,126.0,13.0,0.15131075072547104,15.5,0.1875,-0.6740167732000237
Payroll_EUA,2025-07-03,147.0,111.0,36.0,0.41901438662438134,21.0,0.3020833333333333,-0.8166927910502431
Payroll_EUA,2025-08-01,73.0,106.0,-33.0,-0.38409652107234954,36.0,0.6145833333333334,-0.7999645471308421
Payroll_EUA,2025-09-05,22.0,75.0,-53.0,-0.6168822914192281,33.5,0.5625,-0.14927962501308994
Payroll_EUA,2025-11-20,119.0,53.0,66.0,0.7681930421446991,23.5,0.3541666666666667,-0.15840658274681832
Payroll_EUA,2025-12-16,64.0,51.0,13.0,0.15131075072547104,22.5,0.3333333333333333,-0.1150330372562178
Payroll_EUA,2026-01-09,50.0,66.0,-16.0,-0.1862286162775028,23.0,0.34375,-0.08478914258715849
Payroll_EUA,2026-02-11,130.0,66.0,64.0,0.7449144651100112,36.5,0.625,-0.05781477477259841
Payroll_EUA,2026-03-06,-92.0,58.0,-150.0,-1.745893277601589,41.0,0.71875,-0.03960984769285145
Payroll_EUA,2026-04-03,178.0,65.0,113.0,1.3152396024598636,37.5,0.6458333333333334,-0.030080140861889523
Payroll_EUA,2026-05-08,115.0,65.0,50.0,0.5819644258671963,43.5,0.7708333333333334,0.01758679875699593
Payroll_EUA,2026-06-05,172.0,85.0,87.0,1.0126181010089215,54.5,1.0,0.0424646451476488
Payroll_EUA,2026-07-02,57.0,114.0,-57.0,-0.6634394454886038,50.5,0.9166666666666666,0.06734328743449272
Payroll_EUA,2026-08-07,-23.0,85.0,-108.0,-1.257043159873144,17.0,0.21875,0.09887576566021064
