indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE
Selic_BR,2023-08-03,13.25,13.5,-0.25,-2.402828521900882,77.0,0.7910447761194029,0.17973003182903177
Selic_BR,2023-09-21,12.75,12.75,0.0,0.0,64.5,0.417910447761194,0.13913389561658857
Selic_BR,2023-11-02,12.25,12.25,0.0,0.0,50.5,0.0,0.05871156921261607
Selic_BR,2023-12-14,11.75,11.75,0.0,0.0,57.5,0.208955223880597,0.00011882252053020213
Selic_BR,2024-02-01,11.25,11.25,0.0,0.0,56.0,0.16417910447761194,-0.03827430752545546
Selic_BR,2024-03-21,10.75,10.75,0.0,0.0,62.5,0.3582089552238806,-0.11782810995007514
Selic_BR,2024-05-09,10.5,10.5,0.0,0.0,57.0,0.19402985074626866,0.34145276518016465
Selic_BR,2024-09-19,10.75,10.75,0.0,0.0,67.0,0.4925373134328358,-0.08767566409397794
Selic_BR,2024-11-07,11.25,11.25,0.0,0.0,62.5,0.3582089552238806,0.11126048589254565
Selic_BR,2024-12-12,12.25,12.0,0.25,2.402828521900882,78.0,0.8208955223880597,-0.43734628193070874
Selic_BR,2025-01-30,13.25,13.25,0.0,0.0,76.5,0.7761194029850746,0.7757984264133164
Selic_BR,2025-03-20,14.25,14.25,0.0,0.0,84.0,1.0,-0.3839765730457483
Selic_BR,2025-05-08,14.75,14.75,0.0,0.0,69.0,0.5522388059701493,0.8672144414582704
Selic_BR,2025-06-19,15.0,14.75,0.25,2.402828521900882,65.0,0.43283582089552236,-0.5243874692809645
Selic_BR,2026-03-19,14.75,14.75,0.0,0.0,61.5,0.3283582089552239,-0.07918327569868776
Selic_BR,2026-04-30,14.5,14.5,0.0,0.0,52.5,0.05970149253731343,-0.06553236398618514
Selic_BR,2026-06-18,14.25,14.25,0.0,0.0,56.0,0.16417910447761194,-0.015028258751908235
Selic_BR,2026-08-06,14.0,14.0,0.0,0.0,60.0,0.2835820895522388,0.016255216382901123
