Release date;Time;Actual;Forecast;Previous
Aug 11, 2026 (Jul);09:00;;0.03%;0.16%
Jul 10, 2026 (Jun);09:00;0.16%;0.31%;0.58%
Jun 12, 2026 (May);09:00;0.58%;0.53%;0.67%
May 12, 2026 (Apr);09:00;0.67%;0.70%;0.88%
Apr 10, 2026 (Mar);09:00;0.88%;0.77%;0.70%
Mar 12, 2026 (Feb);09:00;0.70%;0.65%;0.33%
Feb 10, 2026 (Jan);09:00;0.33%;0.32%;0.33%
Jan 09, 2026 (Dec);09:00;0.33%;0.35%;0.18%
Dec 10, 2025 (Nov);09:00;0.18%;0.20%;0.09%
Nov 11, 2025 (Oct);09:00;0.09%;0.16%;0.48%
Oct 09, 2025 (Sep);09:00;0.48%;0.52%;-0.11%
Sep 10, 2025 (Aug);09:00;-0.11%;-0.15%;0.26%
Aug 12, 2025 (Jul);09:00;0.26%;0.37%;0.24%
Jul 10, 2025 (Jun);09:00;0.24%;0.20%;0.26%
Jun 10, 2025 (May);09:00;0.26%;;0.43%
May 09, 2025 (Apr);09:00;0.43%;;0.56%
Apr 11, 2025 (Mar);09:00;0.56%;0.56%;1.31%
Mar 12, 2025 (Feb);09:00;1.31%;1.30%;0.16%
Feb 11, 2025 (Jan);09:00;0.16%;0.14%;0.52%
Jan 10, 2025 (Dec);09:00;0.52%;;0.39%
Dec 10, 2024 (Nov);09:00;0.39%;0.37%;0.56%
Nov 08, 2024 (Oct);09:00;0.56%;0.53%;0.44%
Oct 09, 2024 (Sep);09:00;0.44%;0.46%;-0.02%
Sep 10, 2024 (Aug);09:00;-0.02%;0.01%;0.38%
Aug 09, 2024 (Jul);09:00;0.38%;0.35%;0.21%
Jul 10, 2024 (Jun);09:00;0.21%;0.32%;0.46%
Jun 11, 2024 (May);09:00;0.46%;0.42%;0.38%
May 10, 2024 (Apr);09:00;0.38%;0.35%;0.16%
Apr 10, 2024 (Mar);09:00;0.16%;0.25%;0.83%
Mar 12, 2024 (Feb);09:00;0.83%;0.78%;0.42%
Feb 08, 2024 (Jan);09:00;0.42%;0.34%;0.56%
Jan 11, 2024 (Dec);09:00;0.56%;0.48%;0.28%
Dec 12, 2023 (Nov);09:00;0.28%;0.30%;0.24%
Nov 10, 2023 (Oct);09:00;0.24%;0.29%;0.26%
Oct 11, 2023 (Sep);09:00;0.26%;0.34%;0.23%
Sep 12, 2023 (Aug);09:00;0.23%;0.28%;0.12%
Aug 11, 2023 (Jul);09:00;0.12%;0.07%;-0.08%
Jul 11, 2023 (Jun);09:00;-0.08%;-0.10%;0.23%
Jun 07, 2023 (May);09:00;0.23%;0.33%;0.61%
May 12, 2023 (Apr);09:00;0.61%;0.54%;0.71%
Apr 11, 2023 (Mar);09:00;0.71%;0.78%;0.84%
Mar 10, 2023 (Feb);09:00;0.84%;0.80%;0.53%
Feb 09, 2023 (Jan);08:00;0.53%;0.57%;0.62%
Jan 10, 2023 (Dec);09:00;0.62%;0.45%;0.41%
