Release date;Time;Actual;Forecast;Previous
Aug 07, 2026 (Jul);09:30;-23.00K;85.00K;20.00K
Jul 02, 2026 (Jun);09:30;57.00K;114.00K;129.00K
Jun 05, 2026 (May);09:30;172.00K;85.00K;179.00K
May 08, 2026 (Apr);09:30;115.00K;65.00K;185.00K
Apr 03, 2026 (Mar);09:30;178.00K;65.00K;-133.00K
Mar 06, 2026 (Feb);10:30;-92.00K;58.00K;126.00K
Feb 11, 2026 (Jan);10:30;130.00K;66.00K;48.00K
Jan 09, 2026 (Dec);10:30;50.00K;66.00K;56.00K
Dec 16, 2025 (Nov);10:30;64.00K;51.00K;-105.00K
Dec 16, 2025 (Oct);10:29;-105.00K;;108.00K
Nov 20, 2025 (Sep);10:30;119.00K;53.00K;-4.00K
Sep 05, 2025 (Aug);09:30;22.00K;75.00K;79.00K
Aug 01, 2025 (Jul);09:30;73.00K;106.00K;-13.00K
Jul 03, 2025 (Jun);09:30;147.00K;111.00K;19.00K
Jun 06, 2025 (May);09:30;139.00K;126.00K;158.00K
May 02, 2025 (Apr);09:30;177.00K;138.00K;120.00K
Apr 04, 2025 (Mar);09:30;228.00K;137.00K;102.00K
Mar 07, 2025 (Feb);10:30;151.00K;159.00K;111.00K
Feb 07, 2025 (Jan);10:30;143.00K;169.00K;323.00K
Jan 10, 2025 (Dec);10:30;256.00K;164.00K;261.00K
Dec 06, 2024 (Nov);10:30;227.00K;202.00K;43.00K
Nov 01, 2024 (Oct);09:30;12.00K;106.00K;255.00K
Oct 04, 2024 (Sep);09:30;254.00K;147.00K;78.00K
Sep 06, 2024 (Aug);09:30;142.00K;164.00K;144.00K
Aug 02, 2024 (Jul);09:30;114.00K;176.00K;118.00K
Jul 05, 2024 (Jun);09:30;206.00K;191.00K;216.00K
Jun 07, 2024 (May);09:30;272.00K;182.00K;108.00K
May 03, 2024 (Apr);09:30;175.00K;238.00K;310.00K
Apr 05, 2024 (Mar);09:30;303.00K;212.00K;236.00K
Mar 08, 2024 (Feb);10:30;275.00K;198.00K;256.00K
Feb 02, 2024 (Jan);10:30;353.00K;187.00K;290.00K
Jan 05, 2024 (Dec);10:30;216.00K;170.00K;182.00K
Dec 08, 2023 (Nov);10:30;199.00K;180.00K;150.00K
Nov 03, 2023 (Oct);09:30;150.00K;180.00K;297.00K
Oct 06, 2023 (Sep);09:30;336.00K;170.00K;227.00K
Sep 01, 2023 (Aug);09:30;187.00K;170.00K;157.00K
Aug 04, 2023 (Jul);09:30;187.00K;200.00K;185.00K
Jul 07, 2023 (Jun);09:30;209.00K;225.00K;306.00K
Jun 02, 2023 (May);09:30;339.00K;180.00K;294.00K
May 05, 2023 (Apr);09:30;253.00K;180.00K;165.00K
Apr 07, 2023 (Mar);09:30;236.00K;239.00K;326.00K
Mar 10, 2023 (Feb);10:30;311.00K;205.00K;504.00K
Feb 03, 2023 (Jan);10:30;517.00K;185.00K;260.00K
Jan 06, 2023 (Dec);10:30;223.00K;200.00K;256.00K
Dec 02, 2022 (Nov);10:30;263.00K;200.00K;284.00K
Nov 04, 2022 (Oct);09:30;261.00K;200.00K;315.00K
Oct 07, 2022 (Sep);09:30;263.00K;250.00K;315.00K
Sep 02, 2022 (Aug);09:30;315.00K;300.00K;526.00K
Aug 05, 2022 (Jul);09:30;528.00K;250.00K;398.00K
Jul 08, 2022 (Jun);09:30;372.00K;268.00K;384.00K
