indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE,limiar_ian_indicador,opera,direcao,tamanho_posicao,ativo_alvo,ativo,retorno_pct,retorno_operacao,capital
CPI_EUA,2023-04-12,0.1,0.2,-0.1,-1.0075060759869812,28.0,0.3111111111111111,0.3058651198151508,0.2722222222222221,True,comprar,0.4062691483869358,SPY,SPY,-0.407599090423516,-0.16559493534965147,99.83440506465034
Selic_BR,2023-08-03,13.25,13.5,-0.25,-2.402828521900882,77.0,0.7910447761194029,0.1797300318290317,0.5373134328358209,True,comprar,0.9332192789095324,BRL=X,BRL=X,0.3839773156057102,0.3583350335871788,100.19214671357031
IPCA_BR,2024-02-01,0.83,0.5,0.3299999999999999,1.5701914607924008,56.5,0.5094339622641509,0.0459590729418426,0.4952830188679245,True,vender,0.532847074894901,EWZ,EWZ,1.123952647011328,-0.5988948802803673,99.59210107645974
CPI_EUA,2024-04-10,0.4,0.3,0.1,1.0075060759869816,28.0,0.3111111111111111,-0.1293962350265566,0.2722222222222221,True,vender,0.2708545046584046,SPY,SPY,-1.0013225036973217,0.27121271074225156,99.86220751347436
Selic_BR,2024-12-12,12.25,12.0,0.25,2.402828521900882,78.0,0.8208955223880597,-0.4373462819307087,0.5373134328358209,True,vender,0.4618799178180749,BRL=X,BRL=X,-1.531766308855409,0.7074920968506323,100.56872473937277
CPI_EUA,2026-02-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,33.5,0.4333333333333333,-0.1272616591339566,0.2722222222222221,True,comprar,0.3781866143752854,SPY,SPY,0.0704499103119093,0.026643213063903482,100.59551947898073
Payroll_EUA,2026-03-06,-92.0,58.0,-150.0,-1.745893277601589,43.0,0.7628865979381443,-0.064737901412113,0.3092783505154638,True,comprar,0.7134989205722024,SPY,SPY,-1.3107129910862048,-0.9351923043199699,99.65475792232262
CPI_EUA,2026-04-10,0.9,1.0,-0.0999999999999999,-1.007506075986981,29.0,0.3333333333333333,-0.1212636967845227,0.2722222222222221,True,comprar,0.2929121010718257,SPY,SPY,-0.0661775426558541,-0.019384203063096593,99.63544064168491
Payroll_EUA,2026-06-05,172.0,85.0,87.0,1.0126181010089217,54.5,1.0,-0.0366850325849251,0.3092783505154638,True,vender,0.9633149674150748,SPY,SPY,-2.5809371248925683,2.4862553623662413,102.11263212745602
CPI_EUA,2026-07-14,-0.4,-0.1,-0.3,-3.022518227960944,28.5,0.3222222222222222,-0.1063177437166964,0.2722222222222221,True,comprar,0.2879642825801755,SPY,SPY,0.355064169730146,0.10224579890626714,102.21703800395896
